HXL.PA	Aerospace/Defense - Major Diversified
ZDC.MU	Aerospace/Defense - Major Diversified
MICT	Aerospace/Defense - Major Diversified
FTG.TO	Aerospace/Defense - Major Diversified
BS6.SI	Aerospace/Defense - Major Diversified
ERJ	Aerospace/Defense Products & Services
TPAC	Aerospace/Defense Products & Services
COL	Aerospace/Defense Products & Services
TGI	Aerospace/Defense Products & Services
DCO	Aerospace/Defense Products & Services
UTX	Aerospace/Defense Products & Services
ESL	Aerospace/Defense Products & Services
TATT	Aerospace/Defense Products & Services
CVU	Aerospace/Defense Products & Services
MLER	Aerospace/Defense Products & Services
AIR	Aerospace/Defense Products & Services
BEAV	Aerospace/Defense Products & Services
HII	Aerospace/Defense Products & Services
SPR	Aerospace/Defense Products & Services
XLS	Aerospace/Defense Products & Services
TASR	Aerospace/Defense Products & Services
PIVN	Aerospace/Defense Products & Services
AIRI	Aerospace/Defense Products & Services
LMIA	Aerospace/Defense Products & Services
AVAV	Aerospace/Defense Products & Services
RGR	Aerospace/Defense Products & Services
HEI	Aerospace/Defense Products & Services
SWHC	Aerospace/Defense Products & Services
ATK	Aerospace/Defense Products & Services
GR.V	Aerospace/Defense Products & Services
DGI	Aerospace/Defense Products & Services
OKRG	Aerospace/Defense Products & Services
GD	Aerospace/Defense Products & Services
BUKS	Aerospace/Defense Products & Services
BZC	Aerospace/Defense Products & Services
ORB	Aerospace/Defense Products & Services
WWD	Aerospace/Defense Products & Services
BEA.V	Aerospace/Defense Products & Services
ATRO	Aerospace/Defense Products & Services
ISSC	Aerospace/Defense Products & Services
CAE	Aerospace/Defense Products & Services
ASTC	Aerospace/Defense Products & Services
BA	Aerospace/Defense Products & Services
TDG	Aerospace/Defense Products & Services
ACFN	Aerospace/Defense Products & Services
MOG-A	Aerospace/Defense Products & Services
HEI-A	Aerospace/Defense Products & Services
LMT	Aerospace/Defense Products & Services
HXL	Aerospace/Defense Products & Services
RTN	Aerospace/Defense Products & Services
KAMN	Aerospace/Defense Products & Services
LLL	Aerospace/Defense Products & Services
NPK	Aerospace/Defense Products & Services
CERE	Agricultural Chemicals
MAA.TO	Agricultural Chemicals
MOS	Agricultural Chemicals
MBII	Agricultural Chemicals
SMG	Agricultural Chemicals
AVD	Agricultural Chemicals
POT.TO	Agricultural Chemicals
MON	Agricultural Chemicals
RCF.NS	Agricultural Chemicals
AGU	Agricultural Chemicals
SYT	Agricultural Chemicals
CF	Agricultural Chemicals
FF5.MU	Agricultural Chemicals
XCLIND.BO	Agricultural Chemicals
NOEC	Agricultural Chemicals
1073.HK	Agricultural Chemicals
POC.MU	Agricultural Chemicals
WCQ1.F	Agricultural Chemicals
FF5.BE	Agricultural Chemicals
MEGH.NS	Agricultural Chemicals
ST.TO	Agricultural Chemicals
XCLCROP.BO	Agricultural Chemicals
POT	Agricultural Chemicals
NUF.AX	Agricultural Chemicals
CVAT	Agricultural Chemicals
POTN.MX	Agricultural Chemicals
GRVO.PA	Agricultural Chemicals
0809.HK	Agricultural Chemicals
RNF	Agricultural Chemicals
IPI	Agricultural Chemicals
DD	Agricultural Chemicals
X6S.SG	Agricultural Chemicals
IPL.AX	Agricultural Chemicals
FF5.SG	Agricultural Chemicals
AGU.TO	Agricultural Chemicals
FF5.F	Agricultural Chemicals
ICP.TO	Agricultural Chemicals
KRN.TO	Agricultural Chemicals
X6S.F	Agricultural Chemicals
GROG	Agricultural Chemicals
E6R.F	Agricultural Chemicals
NFL.BO	Agricultural Chemicals
GOP.V	Agricultural Chemicals
UAN	Agricultural Chemicals
YONGY	Agricultural Chemicals
MGO.TO	Agricultural Chemicals
